CATEGORY,ITEM,NAMESPACE,NAME,CURRENT_VALUE,RECOMMENDED_VALUE,STATUS,DETAIL
"STATEFULSET","statefulset","cattle-fleet-local-system","fleet-agent","rancher/fleet-agent:v0.11.4, rancher/fleet-agent:v0.11.4","","ready=1/1",""
"STATEFULSET","statefulset","cattle-fleet-system","fleet-agent","rancher/fleet-agent:v0.11.4, rancher/fleet-agent:v0.11.4","","ready=0/1",""
"SUGGESTION","CRITICAL","StatefulSet 'fleet-agent' in 'cattle-fleet-system' has insufficient ready replicas (0/1)","Investigate: kubectl -n cattle-fleet-system describe sts fleet-agent; kubectl -n cattle-fleet-system logs sts/fleet-agent",,,,
"STATEFULSET","statefulset","monitoring","alertmanager-kube-prometheus-stack-alertmanager","quay.io/prometheus/alertmanager:v0.29.0, quay.io/prometheus-operator/prometheus-config-reloader:v0.60.1","","ready=1/1",""
"STATEFULSET","statefulset","monitoring","loki-stack-loki-distributed-ingester","docker.io/grafana/loki:2.9.13","","ready=1/1",""
"STATEFULSET","statefulset","monitoring","loki-stack-loki-distributed-querier","docker.io/grafana/loki:2.9.13","","ready=1/1",""
"STATEFULSET","statefulset","monitoring","prometheus-kube-prometheus-stack-prometheus","quay.io/prometheus/prometheus:v2.39.1, quay.io/prometheus-operator/prometheus-config-reloader:v0.60.1","","ready=1/1",""
"DAEMONSET","daemonset","kube-system","aws-node","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/amazon-k8s-cni:v1.12.6-eksbuild.2","","desired=17",""
"DAEMONSET","daemonset","kube-system","ebs-csi-node","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-ebs-csi-driver:v1.40.0, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-node-driver-registrar:v2.13.0-eks-1-32-6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-32-6","","desired=17",""
"DAEMONSET","daemonset","kube-system","ebs-csi-node-windows","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-ebs-csi-driver:v1.40.0, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-node-driver-registrar:v2.13.0-eks-1-32-6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-32-6","","desired=0",""
"DAEMONSET","daemonset","kube-system","efs-csi-node","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-efs-csi-driver:v2.1.6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-node-driver-registrar:v2.12.0-eks-1-31-5, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-31-5","","desired=17",""
"DAEMONSET","daemonset","kube-system","kube-proxy","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.32.6-minimal-eksbuild.12","","desired=17",""
"DAEMONSET","daemonset","monitoring","kube-prometheus-stack-prometheus-node-exporter","quay.io/prometheus/node-exporter:v1.10.2","","desired=17",""
"DAEMONSET","daemonset","monitoring","promtail-nginx","grafana/promtail","","desired=6",""
"DAEMONSET","daemonset","nginx-ingress","ingress-nginx-controller","registry.k8s.io/ingress-nginx/controller:v1.8.1@sha256:e5c4824e7375fcf2a393e1c03c293b69759af37a9ca6abdb91b13d78a93da8bd","","desired=17",""
"SERVICE","service","alepay-prod","alepay-admintool","type=ClusterIP","","","ports=80, clusterIP=172.20.177.222"
"SERVICE","service","alepay-prod","alepay-api-v3-service","type=ClusterIP","","","ports=80, clusterIP=172.20.187.25"
"SERVICE","service","alepay-prod","alepay-bi-report","type=ClusterIP","","","ports=8080, clusterIP=172.20.62.183"
"SERVICE","service","alepay-prod","alepay-checkout-v3-service","type=ClusterIP","","","ports=80, clusterIP=172.20.167.185"
"SERVICE","service","alepay-prod","alepay-core-checkout-v3","type=ClusterIP","","","ports=8899;5556, clusterIP=172.20.44.199"
"SERVICE","service","alepay-prod","alepay-core-checkout-v3-nodeport","type=NodePort","","","ports=8899, clusterIP=172.20.172.35"
"SERVICE","service","alepay-prod","alepay-core-export","type=ClusterIP","","","ports=8989;5556, clusterIP=172.20.197.158"
"SERVICE","service","alepay-prod","alepay-core-get-info","type=ClusterIP","","","ports=8898;5556, clusterIP=172.20.83.72"
"SERVICE","service","alepay-prod","alepay-gateway","type=ClusterIP","","","ports=8088, clusterIP=172.20.73.24"
"SERVICE","service","alepay-prod","alepay-merchant-frontend-java","type=ClusterIP","","","ports=8080, clusterIP=172.20.207.35"
"SERVICE","service","alepay-prod","alepay-merchant-v3","type=ClusterIP","","","ports=80, clusterIP=172.20.26.64"
"SERVICE","service","alepay-prod","alepay-pay-all-microform","type=ClusterIP","","","ports=80, clusterIP=172.20.234.214"
"SERVICE","service","alepay-prod","alepay-payment-microform","type=ClusterIP","","","ports=80, clusterIP=172.20.227.224"
"SERVICE","service","alepay-prod","alepay-provider","type=ClusterIP","","","ports=80, clusterIP=172.20.203.86"
"SERVICE","service","alepay-prod","alepay-schedule","type=ClusterIP","","","ports=9909, clusterIP=172.20.153.104"
"SERVICE","service","alepay-prod","alepay-token-microform","type=ClusterIP","","","ports=80, clusterIP=172.20.90.175"
"SERVICE","service","alepay-prod","api-partner","type=ClusterIP","","","ports=9909, clusterIP=172.20.135.250"
"SERVICE","service","alepay-prod","api-payment-core","type=ClusterIP","","","ports=9909;5556, clusterIP=172.20.133.70"
"SERVICE","service","alepay-prod","api-payment-core-nodeport","type=NodePort","","","ports=9909, clusterIP=172.20.83.80"
"SERVICE","service","alepay-prod","api-v1-service","type=ClusterIP","","","ports=80, clusterIP=172.20.99.36"
"SERVICE","service","alepay-prod","callback-merchant","type=ClusterIP","","","ports=80, clusterIP=172.20.51.241"
"SERVICE","service","alepay-prod","callback-merchant-crontab","type=ClusterIP","","","ports=9000, clusterIP=172.20.178.170"
"SERVICE","service","alepay-prod","core-ops","type=ClusterIP","","","ports=9999;5556, clusterIP=172.20.188.84"
"SERVICE","service","alepay-prod","core-ops-backup","type=ClusterIP","","","ports=9999;5556, clusterIP=172.20.230.154"
"SERVICE","service","alepay-prod","doi-soat-php","type=ClusterIP","","","ports=80, clusterIP=172.20.156.221"
"SERVICE","service","alepay-prod","static-alepay","type=ClusterIP","","","ports=80, clusterIP=172.20.239.20"
"SERVICE","service","argocd","argocd-applicationset-controller","type=ClusterIP","","","ports=7000, clusterIP=172.20.128.30"
"SERVICE","service","argocd","argocd-dex-server","type=ClusterIP","","","ports=5556;5557, clusterIP=172.20.193.42"
"SERVICE","service","argocd","argocd-redis","type=ClusterIP","","","ports=6379, clusterIP=172.20.213.242"
"SERVICE","service","argocd","argocd-repo-server","type=ClusterIP","","","ports=8081, clusterIP=172.20.228.223"
"SERVICE","service","argocd","argocd-server","type=ClusterIP","","","ports=80;443, clusterIP=172.20.217.76"
"SERVICE","service","cattle-fleet-local-system","fleet-agent","type=ClusterIP","","","ports=none, clusterIP=None"
"SERVICE","service","cattle-fleet-system","fleet-agent","type=ClusterIP","","","ports=none, clusterIP=None"
"SERVICE","service","cattle-fleet-system","gitjob","type=ClusterIP","","","ports=80, clusterIP=172.20.251.169"
"SERVICE","service","cattle-fleet-system","monitoring-fleet-controller","type=ClusterIP","","","ports=8080, clusterIP=172.20.241.178"
"SERVICE","service","cattle-fleet-system","monitoring-gitjob","type=ClusterIP","","","ports=8081, clusterIP=172.20.89.30"
"SERVICE","service","cattle-provisioning-capi-system","capi-webhook-service","type=ClusterIP","","","ports=443, clusterIP=172.20.208.189"
"SERVICE","service","cattle-system","cattle-cluster-agent","type=ClusterIP","","","ports=80;443, clusterIP=172.20.34.122"
"SERVICE","service","cattle-system","rancher","type=ClusterIP","","","ports=80;443, clusterIP=172.20.244.77"
"SERVICE","service","cattle-system","rancher-webhook","type=ClusterIP","","","ports=443, clusterIP=172.20.73.165"
"SERVICE","service","cert-manager","cert-manager","type=ClusterIP","","","ports=9402, clusterIP=172.20.89.8"
"SERVICE","service","cert-manager","cert-manager-cainjector","type=ClusterIP","","","ports=9402, clusterIP=172.20.167.253"
"SERVICE","service","cert-manager","cert-manager-webhook","type=ClusterIP","","","ports=443;9402, clusterIP=172.20.249.189"
"SERVICE","service","default","kubernetes","type=ClusterIP","","","ports=443, clusterIP=172.20.0.1"
"SERVICE","service","default","nginx-svc","type=ClusterIP","","","ports=80, clusterIP=172.20.27.204"
"SERVICE","service","kube-system","eks-extension-metrics-api","type=ClusterIP","","","ports=443, clusterIP=172.20.70.167"
"SERVICE","service","kube-system","kube-dns","type=ClusterIP","","","ports=53;53, clusterIP=172.20.0.10"
"SERVICE","service","kube-system","kube-prometheus-stack-coredns","type=ClusterIP","","","ports=9153, clusterIP=None"
"SERVICE","service","kube-system","kube-prometheus-stack-kube-controller-manager","type=ClusterIP","","","ports=10257, clusterIP=None"
"SERVICE","service","kube-system","kube-prometheus-stack-kube-etcd","type=ClusterIP","","","ports=2381, clusterIP=None"
"SERVICE","service","kube-system","kube-prometheus-stack-kube-proxy","type=ClusterIP","","","ports=10249, clusterIP=None"
"SERVICE","service","kube-system","kube-prometheus-stack-kube-scheduler","type=ClusterIP","","","ports=10259, clusterIP=None"
"SERVICE","service","kube-system","kube-prometheus-stack-kubelet","type=ClusterIP","","","ports=10250;10255;4194, clusterIP=None"
"SERVICE","service","monitoring","alertmanager-operated","type=ClusterIP","","","ports=9093;9094;9094, clusterIP=None"
"SERVICE","service","monitoring","kube-prometheus-stack-alertmanager","type=ClusterIP","","","ports=9093;8080, clusterIP=172.20.247.173"
"SERVICE","service","monitoring","kube-prometheus-stack-grafana","type=ClusterIP","","","ports=80, clusterIP=172.20.8.177"
"SERVICE","service","monitoring","kube-prometheus-stack-kube-state-metrics","type=ClusterIP","","","ports=8080, clusterIP=172.20.168.6"
"SERVICE","service","monitoring","kube-prometheus-stack-operator","type=ClusterIP","","","ports=443, clusterIP=172.20.80.63"
"SERVICE","service","monitoring","kube-prometheus-stack-prometheus","type=ClusterIP","","","ports=9090;8080, clusterIP=172.20.97.232"
"SERVICE","service","monitoring","kube-prometheus-stack-prometheus-node-exporter","type=ClusterIP","","","ports=9100, clusterIP=172.20.142.149"
"SERVICE","service","monitoring","loki-stack-loki-distributed-distributor","type=ClusterIP","","","ports=3100;9095, clusterIP=172.20.47.22"
"SERVICE","service","monitoring","loki-stack-loki-distributed-gateway","type=ClusterIP","","","ports=80, clusterIP=172.20.33.140"
"SERVICE","service","monitoring","loki-stack-loki-distributed-ingester","type=ClusterIP","","","ports=3100;9095, clusterIP=172.20.162.154"
"SERVICE","service","monitoring","loki-stack-loki-distributed-ingester-headless","type=ClusterIP","","","ports=3100;9095, clusterIP=None"
"SERVICE","service","monitoring","loki-stack-loki-distributed-memberlist","type=ClusterIP","","","ports=7946, clusterIP=None"
"SERVICE","service","monitoring","loki-stack-loki-distributed-querier","type=ClusterIP","","","ports=3100;9095, clusterIP=172.20.195.235"
"SERVICE","service","monitoring","loki-stack-loki-distributed-querier-headless","type=ClusterIP","","","ports=3100;9095, clusterIP=None"
"SERVICE","service","monitoring","loki-stack-loki-distributed-query-frontend","type=ClusterIP","","","ports=3100;9095;9096, clusterIP=172.20.106.201"
"SERVICE","service","monitoring","loki-stack-loki-distributed-query-frontend-headless","type=ClusterIP","","","ports=3100;9095;9096, clusterIP=None"
"SERVICE","service","monitoring","prometheus-operated","type=ClusterIP","","","ports=9090, clusterIP=None"
"SERVICE","service","nginx-ingress","ingress-nginx-controller","type=LoadBalancer","","","ports=80;443, clusterIP=172.20.198.89"
"SERVICE","service","nginx-ingress","ingress-nginx-controller-admission","type=ClusterIP","","","ports=443, clusterIP=172.20.185.149"
"HELM","helm_release","argocd","argocd","argo-cd-5.41.1","","deployed","app_version=v2.7.8"
"HELM","helm_release","cattle-fleet-local-system","fleet-agent-local","fleet-agent-local-v0.0.0+s-ea86451ab731b1b72ec304c184d434140d07f0abfc3b77f186ca70d20a205","","","app_version=deployed"
"HELM","helm_release","cattle-fleet-system","fleet-crd","fleet-crd-105.0.4+up0.11.4","","deployed","app_version=0.11.4"
"HELM","helm_release","cattle-fleet-system","fleet","fleet-105.0.4+up0.11.4","","deployed","app_version=0.11.4"
"HELM","helm_release","cattle-provisioning-capi-system","rancher-provisioning-capi","rancher-provisioning-capi-105.1.0+up0.6.0","","deployed","app_version=1.8.3"
"HELM","helm_release","cattle-system","rancher-eks-operator-crd","rancher-eks-operator-crd-105.9.0+up1.10.9","","deployed","app_version=1.10.9"
"HELM","helm_release","cattle-system","rancher-eks-operator","rancher-eks-operator-105.9.0+up1.10.9","","deployed","app_version=1.10.9"
"HELM","helm_release","cattle-system","rancher","rancher-2.10.3","","deployed","app_version=v2.10.3"
"HELM","helm_release","cattle-system","rancher-webhook","rancher-webhook-105.0.3+up0.6.4","","deployed","app_version=0.6.4"
"HELM","helm_release","cattle-system","system-upgrade-controller","system-upgrade-controller-105.0.1","","deployed","app_version=v0.14.2"
"HELM","helm_release","cert-manager","cert-manager","cert-manager-v1.17.1","","deployed","app_version=v1.17.1"
"HELM","helm_release","monitoring","kube-prometheus-stack","kube-prometheus-stack-79.6.1","","deployed","app_version=v0.86.2"
"HELM","helm_release","monitoring","loki-stack","loki-distributed-0.80.6","","deployed","app_version=2.9.13"
"HELM","helm_release","monitoring","promtail","promtail-6.15.3","","deployed","app_version=2.9.2"
"HELM","helm_release","nginx-ingress","ingress-nginx","ingress-nginx-4.7.1","","deployed","app_version=1.8.1"
"ARGOCD","application","argocd","admintool","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-api-partner","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-bi-report","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-core-export","sync=Unknown","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-gateway","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-merchant-frontend-java","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-provider","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","alepay-schedule","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","api-payment-core","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","api-v1-service","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","api-v3-service","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","callback-merchant","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","cert-nganluong","sync=OutOfSync","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","checkout-v3-service","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","core-checkout-v3","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","core-get-info","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","core-ops","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","core-ops-backup","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","doi-soat-php","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","merchant-v3","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","nginx","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","nl-cde","sync=OutOfSync","","health=Progressing","repo=https://gitlab.saobang.vn/system/deploy-argocd-k8s/nganluong/nganluong-prod.git"
"ARGOCD","application","argocd","nl-noncde","sync=OutOfSync","","health=Progressing","repo=https://gitlab.saobang.vn/system/deploy-argocd-k8s/nganluong/nganluong-prod.git"
"ARGOCD","application","argocd","pay-all-microform","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","payment-microform","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","promtail-nginx-log","sync=OutOfSync","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","static-alepay","sync=OutOfSync","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","token-microform","sync=Synced","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"ARGOCD","application","argocd","user-argocd","sync=Unknown","","health=Healthy","repo=https://gitlab.saobang.vn/system/argocd/alepay/argocd-alepay-aws.git"
"SUGGESTION","WARNING","2 ArgoCD application(s) have Unknown sync status","ArgoCD cannot reach the source repo or the app is orphaned - it is no longer reconciling, so drift goes unnoticed. Check repo access/credentials for: alepay-core-export user-argocd",,,,
"SUGGESTION","WARNING","5 ArgoCD application(s) are OutOfSync","Live state differs from git. Determine whether this is manual drift on the cluster or an un-synced commit before the next sync overwrites it. Apps: cert-nganluong nl-cde nl-noncde promtail-nginx-log static-alepay",,,,
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-32-6","count=19","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-31-5","count=19","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-efs-csi-driver:v2.1.6","count=19","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-ebs-csi-driver:v1.40.0","count=19","","",""
"IMAGE","container_image","","registry.k8s.io/ingress-nginx/controller:v1.8.1@sha256:e5c4824e7375fcf2a393e1c03c293b69759af37a9ca6abdb91b13d78a93da8bd","count=17","","",""
"IMAGE","container_image","","quay.io/prometheus/node-exporter:v1.10.2","count=17","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.32.6-minimal-eksbuild.12","count=17","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-node-driver-registrar:v2.13.0-eks-1-32-6","count=17","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-node-driver-registrar:v2.12.0-eks-1-31-5","count=17","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/amazon-k8s-cni:v1.12.6-eksbuild.2","count=17","","",""
"IMAGE","container_image","","grafana/promtail","count=6","","",""
"IMAGE","container_image","","rancher/rancher-agent:v2.10.3","count=5","","",""
"IMAGE","container_image","","rancher/fleet:v0.11.4","count=4","","",""
"IMAGE","container_image","","rancher/fleet-agent:v0.11.4","count=4","","",""
"IMAGE","container_image","","quay.io/argoproj/argocd:v2.7.8","count=4","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-api-v3-service:master-master-v2.26","count=4","","",""
"IMAGE","container_image","","docker.io/grafana/loki:2.9.13","count=4","","",""
"IMAGE","container_image","","rancher/rancher:v2.10.3","count=3","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/core-get-info:master-v1.0.88","count=3","","",""
"IMAGE","container_image","","quay.io/prometheus-operator/prometheus-config-reloader:v0.60.1","count=2","","",""
"IMAGE","container_image","","quay.io/kiwigrid/k8s-sidecar:1.30.10","count=2","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/static-alepay:master-v1.66","count=2","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/api-payment-core:master-v1.0.138","count=2","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepayops2.0:master-v1.1.334","count=2","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-merchant-v3:master-v3.1.81","count=2","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-core-checkout-v3:master-v1.0.274","count=2","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-checkout-v3-service:master-v7.57","count=2","","",""
"IMAGE","container_image","","docker.io/nginxinc/nginx-unprivileged:1.20.2-alpine","count=2","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-snapshotter:v8.2.0-eks-1-32-6","count=2","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-resizer:v1.13.1-eks-1-32-6","count=2","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-provisioner:v5.2.0-eks-1-32-6","count=2","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-provisioner:v5.1.0-eks-1-31-5","count=2","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-attacher:v4.8.0-eks-1-32-6","count=2","","",""
"IMAGE","container_image","","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.1","count=2","","",""
"IMAGE","container_image","","registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.17.0","count=1","","",""
"IMAGE","container_image","","rancher/system-upgrade-controller:v0.14.2","count=1","","",""
"IMAGE","container_image","","rancher/rancher-webhook:v0.6.4","count=1","","",""
"IMAGE","container_image","","rancher/mirrored-cluster-api-controller:v1.8.3","count=1","","",""
"IMAGE","container_image","","rancher/eks-operator:v1.10.9","count=1","","",""
"IMAGE","container_image","","quay.io/prometheus/prometheus:v2.39.1","count=1","","",""
"IMAGE","container_image","","quay.io/prometheus-operator/prometheus-operator:v0.86.2","count=1","","",""
"IMAGE","container_image","","quay.io/prometheus/alertmanager:v0.29.0","count=1","","",""
"IMAGE","container_image","","quay.io/jetstack/cert-manager-webhook:v1.17.1","count=1","","",""
"IMAGE","container_image","","quay.io/jetstack/cert-manager-controller:v1.17.1","count=1","","",""
"IMAGE","container_image","","quay.io/jetstack/cert-manager-cainjector:v1.17.1","count=1","","",""
"IMAGE","container_image","","public.ecr.aws/docker/library/redis:7.0.11-alpine","count=1","","",""
"IMAGE","container_image","","nginx:latest","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/provider:v1.0.18","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/doi-soat-php:v3.93","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/callback-merchant:v1.58","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/api-v1-service:master-v2.80","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/api-partner:api-partner-v1.0.17","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-token-microform:master-v1.15","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-schedule:master-v1.0.218","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-payment-microform:master-v1.23","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-pay-all-microform:master-v1.47","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-merchant-frontend-java:master-v1.56","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-gateway:master-v1.0.26","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-export:master-v2.0.271","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/alepay-bi-report-core:master-v2.0.392","count=1","","",""
"IMAGE","container_image","","hub.saobang.vn/alepay/admintool:master-db51f35a5f2eed6849400efb49b1a9fe0cd48370","count=1","","",""
"IMAGE","container_image","","ghcr.io/dexidp/dex:v2.37.0","count=1","","",""
"IMAGE","container_image","","docker.io/grafana/promtail:2.9.2","count=1","","",""
"IMAGE","container_image","","docker.io/grafana/grafana:12.3.0","count=1","","",""
"IMAGE","container_image","","amazon/aws-cli:2.15.0","count=1","","",""
"SECURITY","no_resource_limits","alepay-prod","alepay-admintool-7bdbcffb67-8njl2","container=alepay-admintool","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-api-v3-service-848bd8f486-4zwqg","container=alepay-api-v3-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-api-v3-service-848bd8f486-77j77","container=alepay-api-v3-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-api-v3-service-848bd8f486-n5d8k","container=alepay-api-v3-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-api-v3-service-848bd8f486-vkcds","container=alepay-api-v3-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-bi-report-6449d86769-nb5xs","container=alepay-bi-report","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-checkout-v3-service-797dc7696d-w9zqm","container=alepay-checkout-v3-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-checkout-v3-service-797dc7696d-zfb87","container=alepay-checkout-v3-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-core-export-c6bffb885-86z7f","container=alepay-core-export","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-gateway-5f8ff66fd-rcsn8","container=alepay-gateway","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-merchant-frontend-java-647c9cc6fd-lv7dj","container=alepay-merchant-frontend-java","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-merchant-v3-57867467c9-qggwp","container=alepay-merchant-v3","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-merchant-v3-57867467c9-zl6c8","container=alepay-merchant-v3","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-pay-all-microform-6f87cc8dc-tbwmw","container=alepay-pay-all-microform","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-payment-microform-757dcd55cc-jgzqr","container=alepay-payment-microform","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-provider-64cdcf9b48-8k5v9","container=alepay-provider","Set resource limits","WARNING",""
